A1,eta1,shear: Delta chi2 ,ggl: Delta chi2
0.5,-1.2,11.845444,55.428817
0.5,-1.4,13.067090,57.770694
0.5,-1.7,18.580932,66.028395
0.5,-1.9,23.122285,72.007607
0.5,-2,25.247162,74.689264
0.6,-1.2,15.393240,33.719640
0.6,-1.4,20.695936,41.607724
0.6,-1.7,37.639794,65.089949
0.6,-1.9,49.252812,80.257936
0.6,-2,54.377094,86.782319
0.7,-1.2,30.030816,47.394102
0.7,-1.4,38.72751,59.7281
0.7,-1.7,65.11167,95.351852
0.7,-1.9,82.53301,117.808328
0.7,-2,90.10987,127.374209
0.8,-1.2,73.60658,112.084234
0.8,-1.4,88.984275,132.849025
0.8,-1.7,133.863936,191.401633
0.8,-1.9,162.629638,227.574909
0.8,-2,175.00267,242.855096
0.9,-1.2,128.982461,204.283931
0.9,-1.4,151.129947,233.254721
0.9,-1.7,214.731927,314.07121
0.9,-1.9,254.965046,363.526738
0.9,-2,272.181058,384.3332